ECO_GRP_0;ECO_GRP_1;DRV_COD
"PARCELLE LEGALI, FISCALI, NOTARILI";PARCELLE LEGALI - RISCHIO OPERATIVO;Investimenti in macchinari - Italia (% a/a)
"PARCELLE LEGALI, FISCALI, NOTARILI";PARCELLE LEGALI CAUSE PASSIVE;Investimenti in macchinari - Italia (% a/a)
"PARCELLE LEGALI, FISCALI, NOTARILI";PARCELLE LEGALI CONTENZIOSO CREDITI;Investimenti in macchinari - Italia (% a/a)
"PARCELLE LEGALI, FISCALI, NOTARILI";PARCELLE LEGALI NO CAUSE;Investimenti in macchinari - Italia (% a/a)
"PARCELLE LEGALI, FISCALI, NOTARILI";PARCELLE NOTARILI;Investimenti in macchinari - Italia (% a/a)
"PARCELLE LEGALI, FISCALI, NOTARILI";PARCELLE PER OPERAZ SOCIETARIE;Investimenti in macchinari - Italia (% a/a)
"PARCELLE LEGALI, FISCALI, NOTARILI";PARCELLE ALTRE;Investimenti in macchinari - Italia (% t/t)
"PARCELLE LEGALI, FISCALI, NOTARILI";PARCELLE FISCALI;Investimenti in macchinari - Italia (% t/t)
"PARCELLE LEGALI, FISCALI, NOTARILI";PARCELLE LEGALI - RISCHIO OPERATIVO;Investimenti in macchinari - Italia (% t/t)
"PARCELLE LEGALI, FISCALI, NOTARILI";PARCELLE LEGALI CAUSE PASSIVE;Investimenti in macchinari - Italia (% t/t)
"PARCELLE LEGALI, FISCALI, NOTARILI";PARCELLE LEGALI CONTENZIOSO CREDITI;Investimenti in macchinari - Italia (% t/t)
"PARCELLE LEGALI, FISCALI, NOTARILI";PARCELLE LEGALI NO CAUSE;Investimenti in macchinari - Italia (% t/t)
"PARCELLE LEGALI, FISCALI, NOTARILI";PARCELLE NOTARILI;Investimenti in macchinari - Italia (% t/t)
"PARCELLE LEGALI, FISCALI, NOTARILI";PARCELLE PER OPERAZ SOCIETARIE;Investimenti in macchinari - Italia (% t/t)
"PARCELLE LEGALI, FISCALI, NOTARILI";PARCELLE ALTRE;Investimenti in macchinari - Italia (livello)
"PARCELLE LEGALI, FISCALI, NOTARILI";PARCELLE FISCALI;Investimenti in macchinari - Italia (livello)
"PARCELLE LEGALI, FISCALI, NOTARILI";PARCELLE LEGALI - RISCHIO OPERATIVO;Investimenti in macchinari - Italia (livello)
"PARCELLE LEGALI, FISCALI, NOTARILI";PARCELLE LEGALI CAUSE PASSIVE;Investimenti in macchinari - Italia (livello)
"PARCELLE LEGALI, FISCALI, NOTARILI";PARCELLE LEGALI CONTENZIOSO CREDITI;Investimenti in macchinari - Italia (livello)
"PARCELLE LEGALI, FISCALI, NOTARILI";PARCELLE LEGALI NO CAUSE;Investimenti in macchinari - Italia (livello)
"PARCELLE LEGALI, FISCALI, NOTARILI";PARCELLE NOTARILI;Investimenti in macchinari - Italia (livello)
"PARCELLE LEGALI, FISCALI, NOTARILI";PARCELLE PER OPERAZ SOCIETARIE;Investimenti in macchinari - Italia (livello)
"PARCELLE LEGALI, FISCALI, NOTARILI";PARCELLE ALTRE;IRS 10Y
"PARCELLE LEGALI, FISCALI, NOTARILI";PARCELLE FISCALI;IRS 10Y
"PARCELLE LEGALI, FISCALI, NOTARILI";PARCELLE LEGALI - RISCHIO OPERATIVO;IRS 10Y
